Year,State,Electricity_Generation,Solar_Generation,Hydro_Generation,Coal_Generation
2019,Andaman and Nicobar,110.35,27.03,14.39,0.0
2020,Andaman and Nicobar,161.25,33.41,23.35,0.0
2021,Andaman and Nicobar,130.86,39.61,22.9,0.0
2022,Andaman and Nicobar,214.93,34.39,20.939999999999998,0.0
2023,Andaman and Nicobar,368.26,31.119999999999997,14.370000000000001,0.0
2024,Andaman and Nicobar,404.43,34.34,19.33,0.0
2019,Andhra Pradesh,76527.64,5551.45,3138.0699999999997,56749.04
2020,Andhra Pradesh,64560.37,6576.4800000000005,3593.63,44359.54
2021,Andhra Pradesh,75339.81,7775.2300000000005,3635.3900000000003,54030.530000000006
2022,Andhra Pradesh,80314.15,8026.259999999999,4093.6400000000003,59532.1
2023,Andhra Pradesh,88155.66,8312.63,1955.77,69187.08
2024,Andhra Pradesh,90639.26,7987.3,3162.08,71738.29
2019,Arunachal Pradesh,1649.85,1.5,1748.3500000000001,0.0
2020,Arunachal Pradesh,3200.6,1.69,3298.91,0.0
2021,Arunachal Pradesh,4064.31,1.75,4162.5599999999995,0.0
2022,Arunachal Pradesh,4859.21,22.66,4936.5199999999995,0.0
2023,Arunachal Pradesh,4292.0,2.1799999999999997,4389.82,0.0
2024,Arunachal Pradesh,4297.15,1.21,4395.9400000000005,0.0
2019,Assam,7954.13,6.46,1467.81,3698.94
2020,Assam,6035.06,5.8,293.77000000000004,3182.88
2021,Assam,8052.1,62.81,752.6,4025.8
2022,Assam,9088.2,182.96,546.5,4950.62
2023,Assam,9462.29,305.84999999999997,638.42,5194.13
2024,Assam,9628.87,310.1,1132.2700000000002,4861.5
2019,Bihar,35451.97,174.08,17.6,35091.049999999996
2020,Bihar,32780.68,167.22,44.14,32559.24
2021,Bihar,41386.36,153.8,4.52,41296.89
2022,Bihar,54324.49,171.54,14.19,54159.65
2023,Bihar,57699.38,183.57,8.25,57463.53
2024,Bihar,60983.74,293.65000000000003,12.35,60675.62
2019,Chandigarh,11.99,111.99,0.0,0.0
2020,Chandigarh,9.86,109.86,0.0,0.0
2021,Chandigarh,14.81,114.81,0.0,0.0
2022,Chandigarh,12.0,112.0,0.0,0.0
2023,Chandigarh,13.57,113.57,0.0,0.0
2024,Chandigarh,9.3,109.3,0.0,0.0
2019,Chhattisgarh,114857.06,325.79999999999995,311.12,113733.91
2020,Chhattisgarh,132504.24,361.14,528.73,130779.5
2021,Chhattisgarh,141481.27,410.27000000000004,596.63,139247.30000000002
2022,Chhattisgarh,141405.75,541.36,420.76,139353.37000000002
2023,Chhattisgarh,163250.79,846.81,457.60999999999996,160611.12
2024,Chhattisgarh,167859.4,1407.85,487.54,164580.21
2019,Dadra and Nagar Haveli and Daman and Diu,27.68,127.68,0.0,0.0
2020,Dadra and Nagar Haveli and Daman and Diu,38.6,112.64,0.0,0.0
2021,Dadra and Nagar Haveli and Daman and Diu,90.74,165.07,0.0,0.0
2022,Dadra and Nagar Haveli and Daman and Diu,53.97,135.0,0.0,0.0
2023,Dadra and Nagar Haveli and Daman and Diu,25.04,76.55,0.0,0.0
2024,Dadra and Nagar Haveli and Daman and Diu,28.76,71.53,0.0,0.0
2019,Delhi,6082.54,113.02,0.0,0.0
2020,Delhi,5809.1,180.56,0.0,0.0
2021,Delhi,5550.78,208.52,0.0,0.0
2022,Delhi,4673.96,249.82,0.0,0.0
2023,Delhi,4249.73,211.39000000000001,0.0,0.0
2024,Delhi,4983.44,210.67,0.0,0.0
2019,Goa,0.4,100.4,0.0,0.0
2020,Goa,1.48,101.48,0.0,0.0
2021,Goa,2.59,102.19,0.0,0.0
2022,Goa,20.49,93.92,0.0,0.0
2023,Goa,57.44,137.73000000000002,0.0,0.0
2024,Goa,65.25,144.64,0.0,0.0
2019,Gujarat,123634.74,3282.15,4644.06,87069.75
2020,Gujarat,122497.23,4337.85,4733.74,76715.88
2021,Gujarat,97564.43,6124.76,3247.88,58484.659999999996
2022,Gujarat,93681.73,9302.91,5881.92,54220.79
2023,Gujarat,122268.05,12634.71,4901.66,67408.09
2024,Gujarat,153613.18,17385.690000000002,6185.52,84670.36
2019,Haryana,20093.04,115.6,318.46,18825.11
2020,Haryana,13347.43,94.21000000000001,333.02000000000004,11863.34
2021,Haryana,23298.47,492.11,230.25,22038.989999999998
2022,Haryana,32961.43,630.64,258.97999999999996,31571.460000000003
2023,Haryana,30537.98,810.8199999999999,228.31,28987.33
2024,Haryana,32456.58,1398.95,246.63,30230.98
2019,Himachal Pradesh,42917.65,4.85,43012.799999999996,0.0
2020,Himachal Pradesh,40733.18,34.67,40798.509999999995,0.0
2021,Himachal Pradesh,37719.72,42.65,37777.07,0.0
2022,Himachal Pradesh,41676.54,57.24,41719.3,0.0
2023,Himachal Pradesh,39115.11,57.26,39157.85,0.0
2024,Himachal Pradesh,42841.77,84.34,42857.43,0.0
2019,India Total,1378509.84,46271.020000000004,161727.87000000002,998907.71
2020,India Total,1342629.11,58687.880000000005,163376.97,947604.63
2021,India Total,1470121.58,68310.54,159996.22,1072917.73
2022,India Total,1594834.19,95166.27,174517.72,1164814.53
2023,India Total,1704979.42,113415.98999999999,148756.22,1265246.45
2024,India Total,1804423.87,133802.47,155805.32,1328029.34
2019,Jammu and Kashmir,18508.58,0.0,18608.58,0.0
2020,Jammu and Kashmir,18511.26,5.390000000000001,18605.870000000003,0.0
2021,Jammu and Kashmir,17460.43,5.79,17554.64,0.0
2022,Jammu and Kashmir,17394.05,0.0,17494.05,0.0
2023,Jammu and Kashmir,16684.38,0.0,16784.38,0.0
2024,Jammu and Kashmir,15940.66,0.0,16040.66,0.0
2019,Jharkhand,26351.56,17.5,129.03,26305.04
2020,Jharkhand,26918.69,17.69,235.1,26765.9
2021,Jharkhand,28545.14,17.939999999999998,530.12,28097.08
2022,Jharkhand,30768.09,20.46,332.07,30515.57
2023,Jharkhand,34005.33,17.69,204.21,33883.43
2024,Jharkhand,39252.13,17.68,250.79999999999998,39083.65
2019,Karnataka,69127.19,9751.9,15283.4,24409.079999999998
2020,Karnataka,67118.43,13620.07,15925.78,18324.879999999997
2021,Karnataka,78848.08,12915.83,15259.82,30439.49
2022,Karnataka,84004.97,13737.57,16389.7,33863.32
2023,Karnataka,92064.71,15305.91,11884.43,43237.14000000001
2024,Karnataka,95775.15,15414.03,13716.619999999999,43830.450000000004
2019,Kerala,6350.35,137.05,6167.86,0.0
2020,Kerala,7107.53,242.76,6793.83,0.0
2021,Kerala,10710.98,429.29,10092.800000000001,0.0
2022,Kerala,10434.48,706.6600000000001,9586.04,0.0
2023,Kerala,7462.74,1188.54,6074.08,0.0
2024,Kerala,9253.46,1578.49,7573.650000000001,0.0
2021,Ladakh,258.39,0.0,358.39,0.0
2022,Ladakh,404.35,0.0,504.35,0.0
2023,Ladakh,390.33,0.0,490.33,0.0
2024,Ladakh,414.61,0.0,514.61,0.0
2019,Lakshadweep,0.65,100.65,0.0,0.0
2020,Lakshadweep,0.55,100.55,0.0,0.0
2021,Lakshadweep,0.35,100.35,0.0,0.0
2022,Lakshadweep,0.11,100.11,0.0,0.0
2023,Lakshadweep,62.91,0.24,0.0,162.67
2024,Lakshadweep,66.79,0.23,0.0,166.56
2019,Madhya Pradesh,128620.24,3332.42,6042.12,114784.18
2020,Madhya Pradesh,134943.69,4143.65,6721.86,120058.86
2021,Madhya Pradesh,141572.95,3979.24,5213.64,128001.69
2022,Madhya Pradesh,153057.96,4015.8599999999997,7302.76,137219.12
2023,Madhya Pradesh,160013.02,3682.8,7194.63,144236.25
2024,Madhya Pradesh,165155.83,6036.61,7865.280000000001,146396.26
2019,Maharashtra,145819.71,2352.4900000000002,6379.38,106379.14
2020,Maharashtra,127575.7,2531.96,5971.88,94007.28
2021,Maharashtra,153628.75,3545.19,6765.49,117395.81
2022,Maharashtra,156527.02,3876.2599999999998,6877.97,121719.0
2023,Maharashtra,167314.42,5531.610000000001,6578.13,131649.48
2024,Maharashtra,170996.97,6953.42,5851.61,132210.58
2019,Manipur,370.25,3.3899999999999997,466.86,0.0
2020,Manipur,578.31,7.989999999999999,670.3199999999999,0.0
2021,Manipur,497.57,8.15,589.42,0.0
2022,Manipur,528.41,9.62,618.7900000000001,0.0
2023,Manipur,289.78,10.3,376.99,0.0
2024,Manipur,638.7,9.71,728.99,0.0
2019,Meghalaya,1077.54,0.0,1177.54,0.0
2020,Meghalaya,1183.95,0.0,1283.95,0.0
2021,Meghalaya,926.22,0.52,1025.7,0.0
2022,Meghalaya,1056.84,0.0,1156.84,0.0
2023,Meghalaya,871.46,0.0,971.46,0.0
2024,Meghalaya,1020.27,0.0,1120.27,0.0
2019,Mizoram,216.77,0.61,316.15999999999997,0.0
2020,Mizoram,190.39,0.69,289.7,0.0
2021,Mizoram,151.82,5.89,245.93,0.0
2022,Mizoram,255.25,3.7300000000000004,351.52,0.0
2023,Mizoram,218.46,4.65,313.81,0.0
2024,Mizoram,340.95,22.67,418.28000000000003,0.0
2019,Nagaland,244.74,0.0,344.74,0.0
2020,Nagaland,267.04,0.0,365.67,0.0
2021,Nagaland,182.15,0.0,282.15,0.0
2022,Nagaland,287.66,0.0,387.66,0.0
2023,Nagaland,251.25,0.0,351.25,0.0
2024,Nagaland,314.28,0.0,414.28,0.0
2019,Odisha,46895.52,333.46999999999997,6909.179999999999,39598.020000000004
2020,Odisha,61492.21,429.55,7371.04,53744.130000000005
2021,Odisha,64922.31,576.34,5888.150000000001,58464.64000000001
2022,Odisha,69955.29,688.64,5845.55,63453.21
2023,Odisha,73059.0,746.8299999999999,6317.76,66002.27
2024,Odisha,75821.49,780.88,6847.0,68221.23
2019,Others,0.0,0.0,0.0,0.0
2020,Others,0.0,0.0,0.0,0.0
2021,Others,0.0,0.0,0.0,0.0
2019,Puducherry,241.84,5.27,0.0,0.0
2020,Puducherry,252.14,6.2,0.0,0.0
2021,Puducherry,253.77,17.060000000000002,0.0,0.0
2022,Puducherry,249.22,17.15,0.0,0.0
2023,Puducherry,246.09,17.21,0.0,0.0
2024,Puducherry,216.74,17.89,0.0,0.0
2019,Punjab,31520.05,1395.72,5845.09,23735.62
2020,Punjab,23076.88,1368.98,5851.19,15177.57
2021,Punjab,30023.77,1450.3899999999999,4772.32,23102.82
2022,Punjab,37884.33,2259.14,4785.6,30232.69
2023,Punjab,42202.4,3269.98,5522.46,32702.27
2024,Punjab,41114.22,1304.76,4984.97,33936.17999999999
2019,Rajasthan,70421.71,6837.3,758.32,46832.83
2020,Rajasthan,69126.65,10176.880000000001,510.35,43501.479999999996
2021,Rajasthan,77687.56,13652.91,411.14,47722.979999999996
2022,Rajasthan,104117.75,31390.57,911.73,56602.61
2023,Rajasthan,113320.86,37662.32,942.0,58534.55
2024,Rajasthan,127371.45,46075.68,937.48,64514.7
2019,Sikkim,11099.39,0.0,11199.39,0.0
2020,Sikkim,10964.49,0.0,11064.49,0.0
2021,Sikkim,11361.92,0.0,11461.92,0.0
2022,Sikkim,11901.62,10.44,11991.18,0.0
2023,Sikkim,9342.65,0.0,9442.65,0.0
2024,Sikkim,1988.31,0.0,2088.31,0.0
2019,Tamil Nadu,101416.04,4465.2,4764.53,63371.11
2020,Tamil Nadu,94606.2,5959.14,5602.58,51620.700000000004
2021,Tamil Nadu,103126.14,6874.3099999999995,5299.900000000001,59039.89
2022,Tamil Nadu,113502.77,8620.89,6223.679999999999,63534.88
2023,Tamil Nadu,121489.89,11268.01,4291.11,69970.75
2024,Tamil Nadu,129682.18,14487.48,4631.23,75379.91
2019,Telangana,59700.71,6303.88,4245.08,48722.05
2020,Telangana,53734.14,6348.7699999999995,3548.15,43397.14
2021,Telangana,63878.35,6454.79,5909.23,50953.2
2022,Telangana,63858.47,6670.39,6133.78,50528.27
2023,Telangana,64026.64,6942.44,1553.15,55066.700000000004
2024,Telangana,69769.83,6848.12,5046.900000000001,57338.82
2019,Tripura,6704.99,4.430000000000001,30.17,0.0
2020,Tripura,6461.67,5.63,12.76,0.0
2021,Tripura,6399.38,6.109999999999999,6.08,0.0
2022,Tripura,6936.84,6.76,0.0,0.0
2023,Tripura,6823.72,5.29,0.0,0.0
2024,Tripura,5226.43,6.0,0.0,0.0
2019,Uttar Pradesh,129281.1,1364.31,1089.6999999999998,117450.36
2020,Uttar Pradesh,127926.62,1672.94,1776.3100000000002,114279.93
2021,Uttar Pradesh,141082.85,2690.8599999999997,1521.71,129071.37
2022,Uttar Pradesh,160193.22,3516.9,1270.11,148183.65000000002
2023,Uttar Pradesh,164890.26,3945.7799999999997,1132.88,152009.44
2024,Uttar Pradesh,172204.82,4607.06,1283.33,158863.04
2019,Uttarakhand,17502.77,340.41,15275.300000000001,0.0
2020,Uttarakhand,16047.92,349.74,15068.14,0.0
2021,Uttarakhand,16213.89,289.80999999999995,14172.34,0.0
2022,Uttarakhand,16575.0,330.76,16094.67,0.0
2023,Uttarakhand,15431.06,333.95,14590.44,0.0
2024,Uttarakhand,16893.04,333.76,15310.69,0.0
2019,West Bengal,77719.11,61.57,3110.23,73412.76
2020,West Bengal,72865.54,65.46000000000001,3150.4,68487.38
2021,West Bengal,87692.52,96.8,3373.7400000000002,82758.36
2022,West Bengal,91653.64,119.81,3536.5699999999997,86432.84
2023,West Bengal,95022.76,152.49,3119.9500000000003,90310.62
2024,West Bengal,97154.39,263.49,2820.46,92692.89
